"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL5415938";"";"";"";"";"342.34";"1";"1";"3.17";"121.91";"7";"1";"0";"3";"N";"0.44";"3";"MOL";"-1";"24";"-1.97";"C15H10N4O4S";"COC(=O)c1sc(-c2cc3cc([N+](=O)[O-])cc(C#N)c3[nH]2)nc1C";"KFUNBSSTXGCSAP-UHFFFAOYSA-N";"InChI=1S/C15H10N4O4S/c1-7-13(15(20)23-2)24-14(17-7)11-5-8-3-10(19(21)22)4-9(6-16)12(8)18-11/h3-5,18H,1-2H3";"False";"-1";"['76']";"['methyl 2-(7-cyano-5-nitro-1H-indol-2-yl)-4-methylthiazole-5-carboxylate']"
"CHEMBL513024";"GLYCITEIN";"";"Small molecule";"";"284.27";"12";"19";"2.88";"79.90";"5";"2";"0";"2";"N";"0.76";"3";"MOL";"-1";"21";"0.97";"C16H12O5";"COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O";"DXYUAIFZCFRPTH-UHFFFAOYSA-N";"InChI=1S/C16H12O5/c1-20-15-6-11-14(7-13(15)18)21-8-12(16(11)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3";"False";"-1";"['GLYCITEIN', '12', '7', '5', 'glycitein', '2', 'glycitein', '42', 'glycitein', 'glycitein']";"['GLYCITEIN', 'Glycitein', 'glycitein', 'Glycitein', 'glycitein', 'Glycitein', 'glycitein', 'Tectorigenin', 'glycitein', 'glycitein']"
"CHEMBL4168482";"";"";"Small molecule";"";"281.72";"11";"12";"1.17";"70.23";"4";"3";"0";"2";"N";"0.43";"1";"MOL";"-1";"18";"-1.69";"C11H8ClN3O2S";"O=C1NC(=S)NC(=O)C1=CNc1ccccc1Cl";"FWIZKLJYZXMGLK-UHFFFAOYSA-N";"InChI=1S/C11H8ClN3O2S/c12-7-3-1-2-4-8(7)13-5-6-9(16)14-11(18)15-10(6)17/h1-5,13H,(H2,14,15,16,17,18)";"False";"-1";"['7e']";"['5-((2-Chlorophenylamino)methylene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione']"
"CHEMBL4160594";"";"";"Small molecule";"";"326.72";"11";"13";"1.07";"113.37";"6";"3";"0";"3";"N";"0.25";"1";"MOL";"-1";"21";"-1.94";"C11H7ClN4O4S";"O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1Cl";"DQVURVPPFACZNO-UHFFFAOYSA-N";"InChI=1S/C11H7ClN4O4S/c12-7-3-5(16(19)20)1-2-8(7)13-4-6-9(17)14-11(21)15-10(6)18/h1-4,13H,(H2,14,15,17,18,21)";"False";"-1";"['7d']";"['5-((2-Chloro-4-nitrophenylamino)methylene)-2-thioxodihydropyrimidine-4,6(1H,5H)-dione']"
"CHEMBL4162322";"";"";"Small molecule";"";"429.46";"11";"12";"4.34";"83.76";"5";"0";"0";"4";"N";"0.20";"3";"MOL";"-1";"31";"-1.20";"C23H15N3O4S";"O=C1C(=Cc2ccccc2[N+](=O)[O-])C(=O)N(c2ccccc2)C(=S)N1c1ccccc1";"CAUSSEMYILLVNB-UHFFFAOYSA-N";"InChI=1S/C23H15N3O4S/c27-21-19(15-16-9-7-8-14-20(16)26(29)30)22(28)25(18-12-5-2-6-13-18)23(31)24(21)17-10-3-1-4-11-17/h1-15H";"False";"-1";"['2a']";"['5-(2-Nitrobenzylidene)-1,3-diphenyl-2-thioxodihydropyrimidine-4,6(1H,5H)-dione']"
"CHEMBL4175703";"";"";"Small molecule";"";"326.72";"11";"12";"1.07";"113.37";"6";"3";"0";"3";"N";"0.25";"1";"MOL";"-1";"21";"-1.99";"C11H7ClN4O4S";"O=C1NC(=S)NC(=O)C1=CNc1cc([N+](=O)[O-])ccc1Cl";"JOPLTDUDAJXIAC-UHFFFAOYSA-N";"InChI=1S/C11H7ClN4O4S/c12-7-2-1-5(16(19)20)3-8(7)13-4-6-9(17)14-11(21)15-10(6)18/h1-4,13H,(H2,14,15,17,18,21)";"False";"-1";"['7b']";"['5-[[(2-Chloro-5-nitrophenyl)amino]methyleno]-2-thioxodihydropyrimidine-4,6(1H,5H)-dione']"
"CHEMBL3894978";"";"";"Small molecule";"";"354.38";"2";"2";"2.67";"61.46";"4";"1";"0";"3";"N";"0.79";"3";"MOL";"-1";"26";"-1.73";"C19H19FN4O2";"COc1ccc(N2CCN(C(=O)c3nc4cc(F)ccc4[nH]3)CC2)cc1";"CHGOKZBYGMEZPM-UHFFFAOYSA-N";"InChI=1S/C19H19FN4O2/c1-26-15-5-3-14(4-6-15)23-8-10-24(11-9-23)19(25)18-21-16-7-2-13(20)12-17(16)22-18/h2-7,12H,8-11H2,1H3,(H,21,22)";"False";"-1";"['BDBM244071']";"['US9428478, TG6-179-3']"
"CHEMBL4173433";"";"";"Small molecule";"";"184.16";"11";"12";"-1.91";"113.32";"5";"4";"0";"1";"N";"0.16";"0";"MOL";"-1";"13";"-0.54";"C6H8N4O3";"CC(NN)=C1C(=O)NC(=O)NC1=O";"ZPMFPYARHVNPJD-UHFFFAOYSA-N";"InChI=1S/C6H8N4O3/c1-2(10-7)3-4(11)8-6(13)9-5(3)12/h10H,7H2,1H3,(H2,8,9,11,12,13)";"False";"-1";"['6b']";"['5-(1-Hydrazinylethylidene)pyrimidine-2,4,6(1H,3H,5H)-trione']"
"CHEMBL242739";"";"";"Small molecule";"";"270.24";"13";"23";"2.58";"90.90";"5";"3";"0";"1";"N";"0.59";"3";"MOL";"-1";"20";"1.13";"C15H10O5";"O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12";"BMZFZTMWBCFKSS-UHFFFAOYSA-N";"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-15-10(13(11)18)5-6-12(17)14(15)19/h1-7,16-17,19H";"False";"-1";"['17', '1', '18', '7', '5', '1', '11', '8', '36', 'PD119301', 'PD119301']";"['7,8-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one', '7,8-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one', '7,8-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one', "7,8,4'-Trihydroxyisoflavone", '7,8-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one', "7,8,4'-trihydroxyisoflavone", "4',7,8-trihydroxyisoflavone", "4',7,8-Trihydroxyisoflavone", '7,8-dihydroxy-3-(4-hydroxyphenyl)-4H-chromen-4-one', 'PD119301', 'PD119301']"
"CHEMBL3739930";"";"";"Small molecule";"";"375.38";"2";"4";"2.60";"85.35";"6";"2";"0";"4";"N";"0.68";"3";"MOL";"-1";"26";"-1.43";"C17H14FN3O4S";"COc1cc2[nH]c(=S)n(NC(=O)c3cccc(F)c3)c(=O)c2cc1OC";"JHBSYDFQQLGKCG-UHFFFAOYSA-N";"InChI=1S/C17H14FN3O4S/c1-24-13-7-11-12(8-14(13)25-2)19-17(26)21(16(11)23)20-15(22)9-4-3-5-10(18)6-9/h3-8H,1-2H3,(H,19,26)(H,20,22)";"False";"-1";"['2f']";"['N-(6,7-dimethoxy-4-oxo-2-thioxo-1,2-dihydroquinazolin-3(4H)-yl)-3-fluorobenzamide']"
