"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL5177547";"";"";"";"";"422.24";"1";"1";"3.53";"107.45";"5";"2";"0";"4";"N";"0.52";"4";"MOL";"-1";"27";"-1.23";"C19H12BrN5O2";"N#Cc1cc(-c2ncc3c(=O)[nH][nH]c3n2)ccc1OCc1ccc(Br)cc1";"SRIKQOGVJRGHGL-UHFFFAOYSA-N";"InChI=1S/C19H12BrN5O2/c20-14-4-1-11(2-5-14)10-27-16-6-3-12(7-13(16)8-21)17-22-9-15-18(23-17)24-25-19(15)26/h1-7,9H,10H2,(H2,22,23,24,25,26)";"False";"-1";"['19h']";"['6-[4-(4-bromobenzyloxy)-3-cyanophenyl]-1,2-dihydro-3H-pyrazolo[3,4-d]pyrimidin-3-one']"
"CHEMBL493512";"";"";"Small molecule";"";"468.68";"22";"42";"6.62";"71.44";"3";"1";"1";"1";"N";"0.47";"0";"MOL";"-1";"34";"3.20";"C30H44O4";"CC1(C)C(=O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12";"QGWDYPREORDRIT-LPXJIFNVSA-N";"InChI=1S/C30H44O4/c1-25(2)21-8-11-30(7)23(28(21,5)10-9-22(25)32)20(31)16-18-19-17-27(4,24(33)34)13-12-26(19,3)14-15-29(18,30)6/h16,19,21,23H,8-15,17H2,1-7H3,(H,33,34)/t19-,21-,23+,26+,27-,28-,29+,30+/m0/s1";"False";"-1";"['3', '11', '34', '2', '2', '4, 3-oxo-18beta-glycyrrhetinic acid', '2', '11', '5', 'Fig 2a Product D', 'A-02']";"['18beta-3,11-Dioxo-olean-12-en-30-oic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '3,11-Dioxoolean-12-ene-30-oic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '(18beta,20beta)-3,11-Dioxo-olean-12-en-29-oic acid', '3,11-Dioxo-18beta-olean-12-en-30-oic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid', '(2S,4aS,6aS,6bR,8aR,12aS,12bR,14bR)-2,4a,6a,6b,9,9,12a-heptamethyl-10,13-dioxo-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-2-carboxylic acid']"
"CHEMBL5483067";"";"";"";"";"330.86";"1";"1";"2.89";"29.04";"2";"1";"0";"4";"N";"0.74";"3";"MOL";"-1";"22";"-0.24";"C19H23ClN2O";"Cc1cc(C)c(C[n+]2cn(CCO)c3ccccc32)c(C)c1.[Cl-]";"JVKOKBQSSHTOBM-UHFFFAOYSA-M";"InChI=1S/C19H23N2O.ClH/c1-14-10-15(2)17(16(3)11-14)12-21-13-20(8-9-22)18-6-4-5-7-19(18)21;/h4-7,10-11,13,22H,8-9,12H2,1-3H3;1H/q+1;/p-1";"False";"-1";"['48']";"['1-(2-hydroxyethyl)-3-(2,4,6-trimethylbenzyl)-1H-benzo[d]imidazol-3-ium chloride']"
"CHEMBL1668329";"COLLETOTRIALIDE";"";"Small molecule";"";"308.33";"8";"10";"2.77";"82.06";"6";"1";"0";"7";"N";"0.78";"1";"MOL";"-1";"22";"1.67";"C16H20O6";"CCCC(=O)CC[C@H]1OC(=O)c2c1cc(OC)c(OC)c2O";"ZMZJTAURJHTVMU-LLVKDONJSA-N";"InChI=1S/C16H20O6/c1-4-5-9(17)6-7-11-10-8-12(20-2)15(21-3)14(18)13(10)16(19)22-11/h8,11,18H,4-7H2,1-3H3/t11-/m1/s1";"False";"-1";"['6']";"['Colletotrialide']"
"CHEMBL5407212";"";"";"";"";"284.71";"1";"1";"3.00";"71.53";"4";"1";"0";"3";"N";"0.75";"3";"MOL";"-1";"20";"-1.27";"C14H9ClN4O";"O=Cc1cc(Cl)ccc1-c1ccc(-c2nnn[nH]2)cc1";"AUHAXLFMSMJTNW-UHFFFAOYSA-N";"InChI=1S/C14H9ClN4O/c15-12-5-6-13(11(7-12)8-20)9-1-3-10(4-2-9)14-16-18-19-17-14/h1-8H,(H,16,17,18,19)";"False";"-1";"['IIi']";"["4-chloro-4'-(1H-tetrazol-5-yl)-[1,1'-biphenyl]-2-carbaldehyde"]"
"CHEMBL469613";"RUBROFUSARIN B";"";"Small molecule";"";"286.28";"9";"13";"2.98";"68.90";"5";"1";"0";"2";"N";"0.73";"3";"MOL";"-1";"21";"1.44";"C16H14O5";"COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3cc2c1";"HFPQKJMLIONCGP-UHFFFAOYSA-N";"InChI=1S/C16H14O5/c1-8-4-11(17)15-13(21-8)6-9-5-10(19-2)7-12(20-3)14(9)16(15)18/h4-7,18H,1-3H3";"False";"-1";"['7', 'Rubrofusarin B', '6', '4', '11']";"['Rubrofusarin B', 'Rubrofusarin B', 'rubrofusarin B', 'Rubrofusarin B', 'Flavasperone']"
"CHEMBL83072";"";"";"Small molecule";"";"224.25";"1";"1";"0.68";"84.06";"7";"2";"0";"0";"N";"0.64";"0";"MOL";"-1";"15";"-1.12";"C8H8N4O2S";"Oc1nc2nc3n(c(O)c-2n1)CCCS3";"RENXHZJIUDKKON-UHFFFAOYSA-N";"InChI=1S/C8H8N4O2S/c13-6-4-5(10-7(14)9-4)11-8-12(6)2-1-3-15-8/h13H,1-3H2,(H,9,14)";"False";"-1";"['4e']";"['2-Hydroxy-7,8-dihydro-3H,6H-5-thia-1,3,4,8a-tetraaza-cyclopenta[b]naphthalen-9-one']"
"CHEMBL1668328";"FUSARENTIN 6-METHYL ETHER";"";"Small molecule";"";"296.32";"8";"10";"1.74";"96.22";"6";"3";"0";"5";"N";"0.57";"1";"MOL";"-1";"21";"2.06";"C15H20O6";"CCC[C@H](O)C[C@@H]1Cc2cc(OC)c(O)c(O)c2C(=O)O1";"YEQFHPAADMFAMI-UWVGGRQHSA-N";"InChI=1S/C15H20O6/c1-3-4-9(16)7-10-5-8-6-11(20-2)13(17)14(18)12(8)15(19)21-10/h6,9-10,16-18H,3-5,7H2,1-2H3/t9-,10-/m0/s1";"False";"-1";"['4']";"['fusarentin 6-methyl ether']"
"CHEMBL3127121";"";"";"Small molecule";"";"255.20";"2";"2";"2.04";"71.77";"3";"2";"0";"1";"N";"0.82";"2";"MOL";"-1";"18";"-1.30";"C11H8F3N3O";"Nc1nc(-c2cccc(C(F)(F)F)c2)cc(=O)[nH]1";"HYLJVWDHSDZSRO-UHFFFAOYSA-N";"InChI=1S/C11H8F3N3O/c12-11(13,14)7-3-1-2-6(4-7)8-5-9(18)17-10(15)16-8/h1-5H,(H3,15,16,17,18)";"False";"-1";"['20']";"['2-amino-6-(3-(trifluoromethyl)phenyl)pyrimidin-4(3H)-one']"
"CHEMBL468316";"";"";"Small molecule";"";"346.34";"4";"7";"2.10";"94.45";"7";"2";"0";"4";"N";"0.88";"2";"MOL";"-1";"25";"1.77";"C18H18O7";"COc1ccc([C@H]2Oc3cc(OC)c(O)c(OC)c3C(=O)[C@@H]2O)cc1";"HQEILWYNLWGUCL-DLBZAZTESA-N";"InChI=1S/C18H18O7/c1-22-10-6-4-9(5-7-10)17-16(21)15(20)13-11(25-17)8-12(23-2)14(19)18(13)24-3/h4-8,16-17,19,21H,1-3H3/t16-,17+/m0/s1";"False";"-1";"['(+/-)-3b']";"['(+/-)-trans-2,3-Dihydro-3,6-dihydroxy-5,7-dimethoxy-2-(4-methoxyphenyl)-4H-1-benzopyran-4-one']"
"CHEMBL480467";"";"";"Small molecule";"";"374.35";"3";"5";"2.12";"92.68";"8";"1";"0";"4";"N";"0.87";"2";"MOL";"-1";"27";"1.53";"C19H18O8";"COc1cc2c(c(OC)c1OC)C(=O)[C@H](O)[C@H](c1ccc3c(c1)OCO3)O2";"AYPGESFHEGJMCN-IRXDYDNUSA-N";"InChI=1S/C19H18O8/c1-22-13-7-12-14(19(24-3)18(13)23-2)15(20)16(21)17(27-12)9-4-5-10-11(6-9)26-8-25-10/h4-7,16-17,21H,8H2,1-3H3/t16-,17-/m0/s1";"False";"-1";"['(+/-)-4c']";"['(+/-)-cis-2,3-Dihydro-3-hydroxy-5,6,7-trimethoxy-2-(1,3-benzodioxol-5-yl)-4H-1-benzopyran-4-one']"
"CHEMBL5796670";"";"";"";"";"326.29";"1";"3";"-1.33";"175.21";"6";"5";"0";"3";"N";"0.47";"2";"MOL";"-1";"22";"-1.53";"C11H10N4O6S";"NS(=O)(=O)c1ccc(NC(=O)c2c(O)[nH]c(=O)[nH]c2=O)cc1";"FYDXLODCNHCNMR-UHFFFAOYSA-N";"InChI=1S/C11H10N4O6S/c12-22(20,21)6-3-1-5(2-4-6)13-8(16)7-9(17)14-11(19)15-10(7)18/h1-4H,(H,13,16)(H2,12,20,21)(H3,14,15,17,18,19)";"False";"-1";"['BDBM289091']";"['6-hydroxy-2,4-dioxo-N-(4-sulfamoylphenyl)-1,2,3,4-tetrahydropyrimidine-5-carboxamide::US10093658, Compound Formula (Ia)']"
"CHEMBL255130";"";"";"Small molecule";"";"281.36";"6";"10";"2.19";"47.56";"5";"1";"0";"3";"N";"0.68";"1";"MOL";"-1";"18";"-1.19";"C12H11NO3S2";"COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC";"XVAIHVYMCLRIOV-POHAHGRESA-N";"InChI=1S/C12H11NO3S2/c1-15-8-4-3-7(5-9(8)16-2)6-10-11(14)13-12(17)18-10/h3-6H,1-2H3,(H,13,14,17)/b10-6-";"False";"-1";"['10a', '2a', '3008', '17R', 'XO-32']";"['5-(3,4-dimethoxybenzylidene)-2-thioxothiazolidin-4-one', '5-(3,4-dimethoxybenzylidene)-2-thioxothiazolidin-4-one', None, '(Z)-5-(3,4-dimethoxybenzylidene)-2-thioxothiazolidin-4-one', '(Z)-5-(3,4-dimethoxybenzylidene)-2-mercaptothiazol-4(5H)-one']"
"CHEMBL3127134";"";"";"Small molecule";"";"307.31";"4";"6";"1.55";"128.58";"6";"2";"0";"4";"N";"0.88";"2";"MOL";"-1";"23";"-1.15";"C16H13N5O2";"N#Cc1cc(-c2nc(N)[nH]c(=O)c2C#N)ccc1OCC1CC1";"WUPFZEWFJOWNGF-UHFFFAOYSA-N";"InChI=1S/C16H13N5O2/c17-6-11-5-10(3-4-13(11)23-8-9-1-2-9)14-12(7-18)15(22)21-16(19)20-14/h3-5,9H,1-2,8H2,(H3,19,20,21,22)";"False";"-1";"['34']";"['2-amino-4-(3-cyano-4-(cyclopropylmethoxy)phenyl)-6-oxo-1,6-dihydropyrimidine-5-carbonitrile']"
"CHEMBL4159062";"";"";"Small molecule";"";"349.37";"1";"1";"3.07";"115.45";"7";"2";"0";"6";"N";"0.36";"2";"MOL";"-1";"24";"-1.12";"C15H15N3O5S";"CC(C)COc1ccc(-c2cc(C(=O)O)nc(S)n2)cc1[N+](=O)[O-]";"CJMNTTVMEUOZRJ-UHFFFAOYSA-N";"InChI=1S/C15H15N3O5S/c1-8(2)7-23-13-4-3-9(5-12(13)18(21)22)10-6-11(14(19)20)17-15(24)16-10/h3-6,8H,7H2,1-2H3,(H,19,20)(H,16,17,24)";"False";"-1";"['10b']";"['6-(4-isobutoxy-3-nitrophenyl)-2-mercaptopyrimidine-4-carboxylic acid']"
"CHEMBL42423";"4-Nitrocatechol";"";"Small molecule";"";"155.11";"7";"11";"1.01";"83.60";"4";"2";"0";"1";"N";"0.36";"1";"MOL";"-1";"11";"-0.48";"C6H5NO4";"O=[N+]([O-])c1ccc(O)c(O)c1";"XJNPNXSISMKQEX-UHFFFAOYSA-N";"InChI=1S/C6H5NO4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H";"False";"-1";"['66', '3', '34', '3', 'p-nitrocatechol', 'ZT537']";"['4-Nitro-benzene-1,2-diol', '4-Nitro-benzene-1,2-diol', '4-nitrobenzene-1,2-diol', '4-Nitro-benzene-1,2-diol', 'p-nitrocatechol', '4-nitrobenzene-1,2-diol']"
"CHEMBL37387";"BROPIRIMINE";"BROPIRIMINA|BROPIRIMINE|NSC-149027|U-54,461|U-54461";"Small molecule";"2.0";"266.10";"22";"77";"1.78";"71.77";"3";"2";"0";"1";"N";"0.83";"2";"MOL";"0";"15";"-0.22";"C10H8BrN3O";"Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1";"CIUUIPMOFZIWIZ-UHFFFAOYSA-N";"InChI=1S/C10H8BrN3O/c11-7-8(6-4-2-1-3-5-6)13-10(12)14-9(7)15/h1-5H,(H3,12,13,14,15)";"False";"0";"['SID144206218', 'BROPIRIMINE', '4', '6', '2', 'Bropirimine', 'SID170465913', '14', 'BROPIRIMINE', 'BROPIRIMINE', 'MMV690540', 'BROPIRIMINE', 'Bropirimine', 'BROPIRIMINE', 'Bropirimine', 'BROPIRIMINE']";"['SID144206218', 'BROPIRIMINE', '2-Amino-5-bromo-6-phenyl-3H-pyrimidin-4-one', '2-Amino-5-bromo-6-phenyl-3H-pyrimidin-4-one', '2-Amino-5-bromo-6-phenyl-3H-pyrimidin-4-one', 'Bropirimine', 'SID170465913', '2-amino-5-bromo-6-phenylpyrimidin-4(3H)-one', 'BROPIRIMINE', 'BROPIRIMINE', 'C0088725', 'BROPIRIMINE', 'Bropirimine', 'BROPIRIMINE', 'Bropirimine', 'BROPIRIMINE']"
"CHEMBL83159";"";"";"Small molecule";"";"162.19";"9";"18";"1.91";"26.30";"2";"0";"0";"3";"Y";"0.50";"1";"MOL";"-1";"12";"0.40";"C10H10O2";"COc1ccccc1/C=C/C=O";"KKVZAVRSVHUSPL-GQCTYLIASA-N";"InChI=1S/C10H10O2/c1-12-10-7-3-2-5-9(10)6-4-8-11/h2-8H,1H3/b6-4+";"False";"-1";"['2', 'Ortho-methoxycinnamaldehyde', '2-MCA', 'SID144210083', '1b', '2', 'SID144213940', '2', '13', '24']";"['2-methoxycinnamaldehyde', 'Ortho-methoxycinnamaldehyde', '2-methoxycinnamaldehyde', 'SID144210083', '(E)-3-(2-Methoxy-phenyl)-propenal', '2-methoxycinnamaldehyde', 'SID144213940', '2-methoxy cinnamaldehyde', '(E)-3-(2-methoxyphenyl)acrylaldehyde', '3-(2-methoxyphenyl)acrylaldehyde']"
"CHEMBL451722";"";"";"Small molecule";"";"313.40";"14";"24";"3.18";"41.93";"4";"1";"0";"4";"N";"0.94";"2";"MOL";"-1";"23";"0.89";"C19H23NO3";"COc1cc2c(cc1OC)C(Cc1ccc(O)cc1)N(C)CC2";"ZBKFZIUKXTWQTP-UHFFFAOYSA-N";"InChI=1S/C19H23NO3/c1-20-9-8-14-11-18(22-2)19(23-3)12-16(14)17(20)10-13-4-6-15(21)7-5-13/h4-7,11-12,17,21H,8-10H2,1-3H3";"False";"-1";"['3b, armepavine, 7-O-methyl-N-methylcoclaurin', '11', 'SID7977227', '5; MOL007206', '21']";"['(+/-)-1-(4-Hydroxybenzyl)-6,7-dimethoxy-N-methyl-1,2,3,4-tetrahydroisoquinoline', 'D,L-Armepavine', 'SID7977227', 'Evoeuropine', '4-((6,7-dimethoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)methyl)phenol']"
"CHEMBL4164655";"";"";"Small molecule";"";"275.22";"11";"12";"0.05";"124.60";"5";"4";"0";"3";"N";"0.46";"1";"MOL";"-1";"20";"-0.81";"C12H9N3O5";"O=C1NC(=O)C(=CNc2ccccc2C(=O)O)C(=O)N1";"JTKHUIVPXZCMCB-UHFFFAOYSA-N";"InChI=1S/C12H9N3O5/c16-9-7(10(17)15-12(20)14-9)5-13-8-4-2-1-3-6(8)11(18)19/h1-5,13H,(H,18,19)(H2,14,15,16,17,20)";"False";"-1";"['7j']";"['2-[[(2,4,6-Trioxotetrahydropyrimidin-5(2H)-ylidene)methyl]amino]benzoic acid']"
"CHEMBL4174593";"";"";"Small molecule";"";"289.25";"11";"13";"1.03";"100.83";"5";"0";"0";"2";"N";"0.35";"1";"MOL";"-1";"21";"-1.38";"C13H11N3O5";"CN1C(=O)C(=Cc2ccccc2[N+](=O)[O-])C(=O)N(C)C1=O";"IDYBPZJNAJVZTP-UHFFFAOYSA-N";"InChI=1S/C13H11N3O5/c1-14-11(17)9(12(18)15(2)13(14)19)7-8-5-3-4-6-10(8)16(20)21/h3-7H,1-2H3";"False";"-1";"['2c']";"['1,3-Dimethyl-5-(2-nitrobenzylidene)pyrimidine-2,4,6(1H,3H,5H)-trione']"
"CHEMBL4168928";"";"";"Small molecule";"";"333.30";"11";"15";"0.84";"124.89";"7";"2";"0";"4";"N";"0.36";"1";"MOL";"-1";"24";"-1.39";"C14H15N5O5";"CC(NNc1ccc([N+](=O)[O-])cc1)=C1C(=O)N(C)C(=O)N(C)C1=O";"OWXRLZLQGGOESC-UHFFFAOYSA-N";"InChI=1S/C14H15N5O5/c1-8(11-12(20)17(2)14(22)18(3)13(11)21)15-16-9-4-6-10(7-5-9)19(23)24/h4-7,15-16H,1-3H3";"False";"-1";"['6e']";"['1,3-Dimethyl-5-(1-(2-(4-nitrophenyl)hydrazinyl)ethylidene)pyrimidine-2,4,6(1H,3H,5H)-trione']"
"CHEMBL4160550";"";"";"Small molecule";"";"248.24";"11";"12";"0.22";"84.50";"4";"2";"0";"3";"N";"0.75";"1";"MOL";"-1";"18";"0.02";"C12H12N2O4";"COc1ccc(CC2C(=O)NC(=O)NC2=O)cc1";"XIBNTQQDXLZKPP-UHFFFAOYSA-N";"InChI=1S/C12H12N2O4/c1-18-8-4-2-7(3-5-8)6-9-10(15)13-12(17)14-11(9)16/h2-5,9H,6H2,1H3,(H2,13,14,15,16,17)";"False";"-1";"['3']";"['5-(4-Methoxybenzyl)pyrimidine-2,4,6(1H,3H,5H)-trione']"
"CHEMBL4168089";"";"";"Small molecule";"";"226.19";"11";"12";"-1.41";"112.81";"4";"2";"0";"1";"N";"0.42";"0";"MOL";"-1";"16";"-0.83";"C8H10N4O4";"CN1C(=O)C(=CNC(N)=O)C(=O)N(C)C1=O";"ULRVBWPHTDAXEB-UHFFFAOYSA-N";"InChI=1S/C8H10N4O4/c1-11-5(13)4(3-10-7(9)15)6(14)12(2)8(11)16/h3H,1-2H3,(H3,9,10,15)";"False";"-1";"['8b']";"['1-[(1,3-Dimethyl-2,4,6-trioxotetrahydropyrimidin-5(2H)-ylidene)methyl]urea']"
"CHEMBL1668327";"FUSARENTIN 6,7-DIMETHYLETHER";"";"Small molecule";"";"310.35";"8";"10";"2.04";"85.22";"6";"2";"0";"6";"N";"0.78";"1";"MOL";"-1";"22";"2.01";"C16H22O6";"CCC[C@H](O)C[C@@H]1Cc2cc(OC)c(OC)c(O)c2C(=O)O1";"QBCACQPIGRTBHJ-QWRGUYRKSA-N";"InChI=1S/C16H22O6/c1-4-5-10(17)8-11-6-9-7-12(20-2)15(21-3)14(18)13(9)16(19)22-11/h7,10-11,17-18H,4-6,8H2,1-3H3/t10-,11-/m0/s1";"False";"-1";"['3']";"['fusarentin 6,7-dimethylether']"
"CHEMBL563498";"";"";"Small molecule";"";"212.21";"4";"9";"1.30";"95.82";"5";"2";"0";"1";"N";"0.74";"2";"MOL";"-1";"16";"-1.23";"C11H8N4O";"N#Cc1c(O)nc(N)nc1-c1ccccc1";"FOSZENPYKBPMAO-UHFFFAOYSA-N";"InChI=1S/C11H8N4O/c12-6-8-9(7-4-2-1-3-5-7)14-11(13)15-10(8)16/h1-5H,(H3,13,14,15,16)";"False";"-1";"['d', '3043', '15']";"['2-Amino-6-hydroxy-4-(phenyl)-pyrimidine-5-carbonitrile', None, '2-amino-1,6-dihydro-6-oxo-4-phenylpyrimidine-5-carbonitrile']"
"CHEMBL506959";"";"";"Small molecule";"";"332.31";"3";"5";"1.79";"105.45";"7";"3";"0";"3";"N";"0.79";"2";"MOL";"-1";"24";"2.06";"C17H16O7";"COc1cc2c(c(OC)c1O)C(=O)[C@H](O)[C@@H](c1ccc(O)cc1)O2";"KVPHHJCIRFZAJU-JKSUJKDBSA-N";"InChI=1S/C17H16O7/c1-22-11-7-10-12(17(23-2)13(11)19)14(20)15(21)16(24-10)8-3-5-9(18)6-4-8/h3-7,15-16,18-19,21H,1-2H3/t15-,16+/m0/s1";"False";"-1";"['(+/-)-3a']";"['(+/-)-trans-2,3-Dihydro-3,6-dihydroxy-5,7-dimethoxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one']"
"CHEMBL4159488";"";"";"Small molecule";"";"329.38";"1";"1";"3.18";"96.10";"6";"2";"0";"6";"N";"0.48";"2";"MOL";"-1";"23";"-1.04";"C16H15N3O3S";"CCCCOc1ccc(-c2cc(C(=O)O)nc(S)n2)cc1C#N";"YVTMKWCLPYLVHV-UHFFFAOYSA-N";"InChI=1S/C16H15N3O3S/c1-2-3-6-22-14-5-4-10(7-11(14)9-17)12-8-13(15(20)21)19-16(23)18-12/h4-5,7-8H,2-3,6H2,1H3,(H,20,21)(H,18,19,23)";"False";"-1";"['9d']";"['6-(4-butoxy-3-cyanophenyl)-2-mercaptopyrimidine-4-carboxylic acid']"
"CHEMBL3127117";"";"";"Small molecule";"";"405.76";"8";"16";"2.99";"99.46";"6";"2";"0";"5";"N";"0.79";"2";"MOL";"-1";"27";"-0.60";"C16H15ClF3N3O4";"Nc1nc(-c2ccc(OCC3CCOC3)c(OC(F)(F)F)c2)c(Cl)c(=O)[nH]1";"AUDBGOIKEKOXPO-UHFFFAOYSA-N";"InChI=1S/C16H15ClF3N3O4/c17-12-13(22-15(21)23-14(12)24)9-1-2-10(11(5-9)27-16(18,19)20)26-7-8-3-4-25-6-8/h1-2,5,8H,3-4,6-7H2,(H3,21,22,23,24)";"False";"-1";"['41']";"['2-amino-5-chloro-6-(4-((tetrahydrofuran-3-yl)methoxy)-3-(trifluoromethoxy)-phenyl)pyrimidin-4(3H)-one']"
"CHEMBL4095851";"";"";"Small molecule";"";"473.48";"2";"8";"4.13";"129.23";"7";"4";"0";"7";"N";"0.18";"4";"MOL";"-1";"35";"0.59";"C27H23NO7";"COC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12";"UODHPPVLLSIZRU-JTPHSUOKSA-N";"InChI=1S/C27H23NO7/c1-34-27(33)20(13-16-5-3-2-4-6-16)28-25(32)12-9-17-7-11-22(30)26-19(17)15-24(35-26)18-8-10-21(29)23(31)14-18/h2-12,14-15,20,29-31H,13H2,1H3,(H,28,32)/b12-9+/t20-/m0/s1";"False";"-1";"['5d', 'BDBM50233817']";"['Methyl (E)-(3-(2-(3,4-dihydroxyphenyl)-7-hydroxybenzofuran-4-yl)acryloyl)-l-phenylalaninate', 'CHEMBL4095851::US11021454, Compound 5d']"
"CHEMBL294009";"FLAVONOL";"NCI-57653";"Small molecule";"";"238.24";"97";"192";"3.17";"50.44";"3";"1";"0";"1";"N";"0.71";"3";"MOL";"-1";"18";"0.64";"C15H10O3";"O=c1c(O)c(-c2ccccc2)oc2ccccc12";"HVQAJTFOCKOKIN-UHFFFAOYSA-N";"InChI=1S/C15H10O3/c16-13-11-8-4-5-9-12(11)18-15(14(13)17)10-6-2-1-3-7-10/h1-9,17H";"False";"-1";"['4a', '1', '7', '3', '5e', 'SID93576733', '2', '11', '3-hydroxyflavone', '3-Hydroxyflavone', '144, NCI 57653', '6', 'NSC-57653', '13', '3-Hydroxyflavone', '12', 'SID26749665', '11', '1', '1', '17', '2', '2', '31', '3-OH flavone', '3-HYDROXYFLAVONE', '3-hydroxyflavone', '26', '8', '17', '3-HF', '19', '18', 'B', 'NP-27', '3-Hydroxyflavone', '2', '25', 'Flavonol', 'COVC-0678030684', '70', 'Hydroxyflavone', '1']";"['3-Hydroxy-2-phenyl-4H-chromen-4-one', 'Flavonol', '3-Hydroxy-2-phenyl-chromen-4-one', '3-Hydroxy-2-phenyl-chromen-4-one', '3-Hydroxy-2-phenyl-chromen-4-one', 'SID93576733', '3-Hydroxyflavone', 'Flavonol', '3-hydroxyflavone', '3-Hydroxyflavone', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-Hydroxyflavone', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-Hydroxyflavone', '3-Hydroxyflavone', '3-hydroxyflavone', 'SID26749665', '3-hydroxyflavone', '3-Hydroxy-2-phenyl-4H-chromen-4-one', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-Hydroxy-2-phenyl-4H-chromen-4-one', 'flavonol', '3-hydroxy-flavone', '3-Hydroxy-2-phenyl-chromen-4-one', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-HYDROXYFLAVONE', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-hydroxyflavone', 'Flavonol', 'Flavonol', '3-hydroxy Flavone', '3-hydroxyflavone', 'Flavonol', '3-hydroxyflavone', '3-hydroxy-2-phenyl-4H-chromen-4-one', '3-Hydroxyflavone', '3-Hydroxyflavone', '3-Hydroxyflavone', 'Flavonol', 'FLAVONOL', '3-hydroxy flavone', 'Hydroxyflavone', 'Flavonol']"
